cif_file,normal_atoms,normal_formula,norm_duplicate,min_atoms,min_formula,min_duplicate,normal_eliminated,min_eliminated
BELYIC.cif,33,C8 H16 Mg1 O8,no,,,no,no,no
DIWNAA.cif,89,C42 H28 Mg1 O18,no,69.0,C33 H24 Mg1 O11,no,no,no
DAFYAN.cif,136,C48 H36 Mg3 O49,no,115.0,C43 H30 Mg3 O39,no,no,no
DUWRAQ.cif,82,C12 H22 Mg4 O40 P4,no,44.0,C6 H15 Mg2 O18 P3,no,no,no
DIHHIP.cif,276,C132 H92 Mg4 O48,no,89.0,C43 H30 Mg2 O14,no,yes,no
DUWRUK.cif,31,C4 H8 Mg1 O16 P2,no,,,no,no,no
DUWSAR.cif,23,C4 H5 Mg1 O12 P1,no,,,no,no,no
DUWROE.cif,50,C8 H14 Mg2 O24 P2,no,,,no,no,no
BAKYOE.cif,103,C32 H38 Mg1 N10 O22,no,88.0,C29 H36 Mg1 N10 O12,no,no,no
AVIPAX.cif,220,C84 H72 Mg4 N12 O48,no,102.0,C42 H37 Mg2 N7 O14,no,yes,no
DUWTAS.cif,33,C2 H11 Mg1 O16 P3,no,,,no,no,no
DAJWET.cif,556,C288 H192 Mg3 N24 O49,no,165.0,C83 H56 Mg3 N4 O19,no,yes,no
DOQCUK.cif,93,C36 H36 Mg1 O20,no,74.0,C31 H28 Mg1 O14,no,no,no
EZEQEH.cif,123,C52 H46 Mg1 N4 O20,no,95.0,C43 H37 Mg1 N3 O11,no,no,no
EZEQIL.cif,115,C48 H42 Mg1 N4 O20,no,84.0,C36 H33 Mg1 N3 O11,no,no,no
EZEQOR.cif,123,C52 H46 Mg1 N4 O20,yes,95.0,C43 H37 Mg1 N3 O11,yes,no,no
EQERAU.cif,378,C168 H140 Mg4 O58 P8,no,169.0,C68 H68 Mg4 O21 P8,no,yes,no
EZEQUX.cif,123,C52 H46 Mg1 N4 O20,yes,95.0,C43 H37 Mg1 N3 O11,yes,no,no
HAFVUH.cif,155,C64 H56 Mg1 O34,no,88.0,C37 H34 Mg1 O16,no,no,no
GIFSOG.cif,158,C81 H58 Mg1 O18,no,82.0,C41 H30 Mg1 O10,no,no,no
HOQMIL.cif,123,C52 H46 Mg1 N4 O20,yes,95.0,C43 H37 Mg1 N3 O11,yes,no,no
HOQMUX.cif,115,C48 H42 Mg1 N4 O20,yes,55.0,C19 H21 Mg1 N3 O11,no,no,no
EBIMOT.cif,315,C136 H112 Mg3 O64,no,141.0,C66 H50 Mg3 O22,no,yes,no
HOQNEI.cif,123,C52 H46 Mg1 N4 O20,yes,95.0,C43 H37 Mg1 N3 O11,yes,no,no
ILECIN.cif,31,C6 H12 Mg1 O12,no,,,no,no,no
JIRHAW.cif,151,C54 H48 Mg1 N42 O6,no,75.0,C24 H28 Mg1 N20 O2,no,no,no
LOTSUL.cif,73,C28 H24 Mg1 O20,no,65.0,C26 H22 Mg1 O16,no,no,no
KAPRIG.cif,323,C176 H112 Mg1 O34,no,130.0,C65 H48 Mg1 O16,no,yes,no
LIQHAX.cif,161,C76 H60 Mg1 N8 O16,no,85.0,C40 H32 Mg1 N2 O10,no,no,no
NABMUA.cif,96,C35 H35 Mg1 N5 O20,no,75.0,C30 H29 Mg1 N5 O10,no,no,no
NEYZAU.cif,53,C16 H16 Mg1 N8 O8 S4,no,53.0,C16 H16 Mg1 N8 O8 S4,no,no,no
NIWPIU.cif,31,C6 H12 Mg1 O12,yes,,,no,no,no
NIWZIE.cif,31,C6 H12 Mg1 O12,yes,,,no,no,no
NOSTUM.cif,85,C32 H28 Mg1 O24,no,72.0,C29 H24 Mg1 O18,no,no,no
LOTTEW.cif,113,C56 H30 Mg3 O24,no,97.0,C52 H26 Mg3 O16,no,no,no
MUDLON.cif,309,C160 H108 Mg1 N8 O32,no,126.0,C61 H45 Mg1 N5 O14,no,yes,no
HIBGEF.cif,59,C12 H20 Mg3 O24,no,59.0,C12 H20 Mg3 O24,no,no,no
NUDMOQ.cif,132,C49 H45 Mg3 N7 O28,no,108.0,C43 H39 Mg3 N7 O16,no,no,no
NUDLIJ.cif,132,C49 H45 Mg3 N7 O28,yes,108.0,C43 H39 Mg3 N7 O16,yes,no,no
IFASOZ.cif,187,C54 H94 Mg3 O36,no,59.0,C14 H22 Mg3 O20,no,no,no
OPAGIX.cif,123,C48 H36 Mg3 O36,no,99.0,C42 H30 Mg3 O24,no,no,no
NUDMUW.cif,121,C42 H42 Mg3 N6 O28,no,100.0,C37 H36 Mg3 N6 O18,no,no,no
PUZJOL.cif,80,C30 H24 Mg1 O20 S5,no,64.0,C26 H20 Mg1 O12 S5,no,no,no
NUDNEH.cif,121,C42 H42 Mg3 N6 O28,yes,100.0,C37 H36 Mg3 N6 O18,yes,no,no
QIWPET.cif,163,C60 H50 Mg3 O50,no,107.0,C46 H36 Mg3 O22,no,no,no
MOPQIT.cif,59,C12 H20 Mg3 O24,yes,59.0,C12 H20 Mg3 O24,yes,no,no
QUZZES.cif,101,C48 H36 Mg1 O16,no,88.0,C45 H32 Mg1 O10,no,no,no
RATVEP.cif,77,C30 H25 Mg1 N9 O12,no,48.0,C19 H16 Mg1 N6 O6,no,no,no
SAPBAP.cif,31,C6 H12 Mg1 O12,yes,,,no,no,no
RAVWAO.cif,279,C132 H108 Mg3 O36,no,120.0,C56 H42 Mg3 O19,no,yes,no
SIWZOP.cif,31,C6 H12 Mg1 O12,yes,,,no,no,no
TAGTIH.cif,94,C36 H24 Mg3 O31,no,73.0,C31 H18 Mg3 O21,no,no,no
RUTVUA.cif,73,C28 H24 Mg1 O20,yes,68.0,C27 H22 Mg1 O18,no,no,no
UDUPIW.cif,101,C48 H36 Mg1 O16,yes,88.0,C45 H32 Mg1 O10,yes,no,no
ORUKET.cif,381,C168 H116 Mg1 N12 O72 P12,no,141.0,C63 H44 Mg1 N3 O27 P3,no,yes,no
UDUSAR.cif,199,C96 H68 Mg3 O32,no,170.0,C89 H60 Mg3 O18,no,no,no
TIXVON.cif,178,C84 H62 Mg2 O30,no,109.0,C49 H38 Mg2 O20,no,no,no
TAGVAB.cif,75,C32 H26 Mg1 O16,no,64.0,C29 H24 Mg1 O10,no,no,no
WEHNAA.cif,355,C72 H174 Mg1 N12 O72 P24,no,84.0,C12 H43 Mg1 N2 O17 P9,no,yes,no
WAMRIN.cif,84,C32 H30 Mg1 N4 O17,no,73.0,C29 H28 Mg1 N4 O11,no,no,no
REJVOS.cif,59,C12 H20 Mg3 O24,yes,59.0,C12 H20 Mg3 O24,yes,no,no
WUHJIT.cif,93,C42 H32 Mg1 O18,yes,67.0,C32 H24 Mg1 O10,no,no,no
UDURUK.cif,211,C96 H76 Mg3 O36,no,182.0,C89 H68 Mg3 O22,no,yes,no
OBIBAF.cif,324,C140 H136 Mg4 O44,no,114.0,C49 H44 Mg2 O19,no,yes,no
VALXOY.cif,232,C96 H72 Mg3 N12 O49,no,117.0,C51 H37 Mg3 N7 O19,no,yes,no
XEHRUY.cif,59,C12 H20 Mg3 O24,yes,59.0,C12 H20 Mg3 O24,yes,no,no
XEHSAF.cif,59,C12 H20 Mg3 O24,yes,59.0,C12 H20 Mg3 O24,yes,no,no
XESKAJ.cif,195,C36 H96 Mg3 N12 O36 P12,no,147.0,C31 H81 Mg3 N12 O13 P7,no,no,no
XEQLEM.cif,91,C36 H36 Mg1 N6 O12,no,83.0,C34 H34 Mg1 N6 O8,no,no,no
XEHSEJ.cif,59,C12 H20 Mg3 O24,yes,59.0,C12 H20 Mg3 O24,yes,no,no
XEHSIN.cif,59,C12 H20 Mg3 O24,yes,59.0,C12 H20 Mg3 O24,yes,no,no
XEHSOT.cif,59,C12 H20 Mg3 O24,yes,59.0,C12 H20 Mg3 O24,yes,no,no
XESKEN.cif,195,C36 H96 Mg3 N12 O36 P12,yes,147.0,C31 H81 Mg3 N12 O13 P7,yes,no,no
XEHSUZ.cif,59,C12 H20 Mg3 O24,yes,59.0,C12 H20 Mg3 O24,yes,no,no
XUFYAA.cif,201,C108 H68 Mg1 O24,no,93.0,C48 H32 Mg1 O12,no,yes,no
