cif_file,normal_atoms,normal_formula,norm_duplicate,min_atoms,min_formula,min_duplicate
BELYIC.cif,33,C8 H16 Mg1 O8,no,N/A,N/A,no
DIWNAA.cif,89,C42 H28 Mg1 O18,no,69,C33 H24 Mg1 O11,no
DAFYAN.cif,136,C48 H36 Mg3 O49,no,115,C43 H30 Mg3 O39,no
DUWRAQ.cif,82,C12 H22 Mg4 O40 P4,no,44,C6 H15 Mg2 O18 P3,no
DIHHIP.cif,276,C132 H92 Mg4 O48,no,89,C43 H30 Mg2 O14,no
DUWRUK.cif,31,C4 H8 Mg1 O16 P2,no,N/A,N/A,no
DUWSAR.cif,23,C4 H5 Mg1 O12 P1,no,N/A,N/A,no
DUWROE.cif,50,C8 H14 Mg2 O24 P2,no,N/A,N/A,no
BAKYOE.cif,103,C32 H38 Mg1 N10 O22,no,88,C29 H36 Mg1 N10 O12,no
AVIPAX.cif,220,C84 H72 Mg4 N12 O48,no,102,C42 H37 Mg2 N7 O14,no
DUWTAS.cif,33,C2 H11 Mg1 O16 P3,no,N/A,N/A,no
DAJWET.cif,556,C288 H192 Mg3 N24 O49,no,165,C83 H56 Mg3 N4 O19,no
DOQCUK.cif,93,C36 H36 Mg1 O20,no,74,C31 H28 Mg1 O14,no
EZEQEH.cif,123,C52 H46 Mg1 N4 O20,no,95,C43 H37 Mg1 N3 O11,no
EZEQIL.cif,115,C48 H42 Mg1 N4 O20,no,84,C36 H33 Mg1 N3 O11,no
EZEQOR.cif,123,C52 H46 Mg1 N4 O20,yes,95,C43 H37 Mg1 N3 O11,yes
EQERAU.cif,378,C168 H140 Mg4 O58 P8,no,169,C68 H68 Mg4 O21 P8,no
EZEQUX.cif,123,C52 H46 Mg1 N4 O20,yes,95,C43 H37 Mg1 N3 O11,yes
HAFVUH.cif,155,C64 H56 Mg1 O34,no,88,C37 H34 Mg1 O16,no
GIFSOG.cif,158,C81 H58 Mg1 O18,no,82,C41 H30 Mg1 O10,no
HOQMIL.cif,123,C52 H46 Mg1 N4 O20,yes,95,C43 H37 Mg1 N3 O11,yes
HOQMUX.cif,115,C48 H42 Mg1 N4 O20,yes,55,C19 H21 Mg1 N3 O11,no
EBIMOT.cif,315,C136 H112 Mg3 O64,no,141,C66 H50 Mg3 O22,no
HOQNEI.cif,123,C52 H46 Mg1 N4 O20,yes,95,C43 H37 Mg1 N3 O11,yes
ILECIN.cif,31,C6 H12 Mg1 O12,no,N/A,N/A,no
JIRHAW.cif,151,C54 H48 Mg1 N42 O6,no,75,C24 H28 Mg1 N20 O2,no
LOTSUL.cif,73,C28 H24 Mg1 O20,no,65,C26 H22 Mg1 O16,no
KAPRIG.cif,323,C176 H112 Mg1 O34,no,130,C65 H48 Mg1 O16,no
LIQHAX.cif,161,C76 H60 Mg1 N8 O16,no,85,C40 H32 Mg1 N2 O10,no
NABMUA.cif,96,C35 H35 Mg1 N5 O20,no,75,C30 H29 Mg1 N5 O10,no
NEYZAU.cif,53,C16 H16 Mg1 N8 O8 S4,no,53,C16 H16 Mg1 N8 O8 S4,no
NIWPIU.cif,31,C6 H12 Mg1 O12,yes,N/A,N/A,no
NIWZIE.cif,31,C6 H12 Mg1 O12,yes,N/A,N/A,no
NOSTUM.cif,85,C32 H28 Mg1 O24,no,72,C29 H24 Mg1 O18,no
LOTTEW.cif,113,C56 H30 Mg3 O24,no,97,C52 H26 Mg3 O16,no
MUDLON.cif,309,C160 H108 Mg1 N8 O32,no,126,C61 H45 Mg1 N5 O14,no
HIBGEF.cif,59,C12 H20 Mg3 O24,no,59,C12 H20 Mg3 O24,no
NUDMOQ.cif,132,C49 H45 Mg3 N7 O28,no,108,C43 H39 Mg3 N7 O16,no
NUDLIJ.cif,132,C49 H45 Mg3 N7 O28,yes,108,C43 H39 Mg3 N7 O16,yes
IFASOZ.cif,187,C54 H94 Mg3 O36,no,59,C14 H22 Mg3 O20,no
OPAGIX.cif,123,C48 H36 Mg3 O36,no,99,C42 H30 Mg3 O24,no
NUDMUW.cif,121,C42 H42 Mg3 N6 O28,no,100,C37 H36 Mg3 N6 O18,no
PUZJOL.cif,80,C30 H24 Mg1 O20 S5,no,64,C26 H20 Mg1 O12 S5,no
NUDNEH.cif,121,C42 H42 Mg3 N6 O28,yes,100,C37 H36 Mg3 N6 O18,yes
QIWPET.cif,163,C60 H50 Mg3 O50,no,107,C46 H36 Mg3 O22,no
MOPQIT.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
QUZZES.cif,101,C48 H36 Mg1 O16,no,88,C45 H32 Mg1 O10,no
RATVEP.cif,77,C30 H25 Mg1 N9 O12,no,48,C19 H16 Mg1 N6 O6,no
SAPBAP.cif,31,C6 H12 Mg1 O12,yes,N/A,N/A,no
RAVWAO.cif,279,C132 H108 Mg3 O36,no,120,C56 H42 Mg3 O19,no
SIWZOP.cif,31,C6 H12 Mg1 O12,yes,N/A,N/A,no
TAGTIH.cif,94,C36 H24 Mg3 O31,no,73,C31 H18 Mg3 O21,no
RUTVUA.cif,73,C28 H24 Mg1 O20,yes,68,C27 H22 Mg1 O18,no
UDUPIW.cif,101,C48 H36 Mg1 O16,yes,88,C45 H32 Mg1 O10,yes
ORUKET.cif,381,C168 H116 Mg1 N12 O72 P12,no,141,C63 H44 Mg1 N3 O27 P3,no
UDUSAR.cif,199,C96 H68 Mg3 O32,no,170,C89 H60 Mg3 O18,no
TIXVON.cif,178,C84 H62 Mg2 O30,no,109,C49 H38 Mg2 O20,no
TAGVAB.cif,75,C32 H26 Mg1 O16,no,64,C29 H24 Mg1 O10,no
WEHNAA.cif,355,C72 H174 Mg1 N12 O72 P24,no,84,C12 H43 Mg1 N2 O17 P9,no
WAMRIN.cif,84,C32 H30 Mg1 N4 O17,no,73,C29 H28 Mg1 N4 O11,no
REJVOS.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
WUHJIT.cif,93,C42 H32 Mg1 O18,yes,67,C32 H24 Mg1 O10,no
UDURUK.cif,211,C96 H76 Mg3 O36,no,182,C89 H68 Mg3 O22,no
OBIBAF.cif,324,C140 H136 Mg4 O44,no,114,C49 H44 Mg2 O19,no
VALXOY.cif,232,C96 H72 Mg3 N12 O49,no,117,C51 H37 Mg3 N7 O19,no
XEHRUY.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XEHSAF.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XESKAJ.cif,195,C36 H96 Mg3 N12 O36 P12,no,147,C31 H81 Mg3 N12 O13 P7,no
XEQLEM.cif,91,C36 H36 Mg1 N6 O12,no,83,C34 H34 Mg1 N6 O8,no
XEHSEJ.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XEHSIN.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XEHSOT.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XESKEN.cif,195,C36 H96 Mg3 N12 O36 P12,yes,147,C31 H81 Mg3 N12 O13 P7,yes
XEHSUZ.cif,59,C12 H20 Mg3 O24,yes,59,C12 H20 Mg3 O24,yes
XUFYAA.cif,201,C108 H68 Mg1 O24,no,93,C48 H32 Mg1 O12,no
